Provinsi,year,"IPM","LamaSekolah","PendudukMiskin","AktaKelahiran","PersentaseMerokok","KonsumsiKalori","MelekHuruf","Penerangan","IDI","TeleponGenggam","AnakBekerja"
Kepulauan Bangka Belitung,2016,69.55,8.04,72.76,93.71,29.32,2060.02,98.75,96.96,83,62.12,
Kepulauan Riau,2016,73.99,9.9,120.41,95.58,29.25,2157.61,99,94.41,72.84,73.77,
Dki Jakarta,2016,79.6,10.92,384.3,95.93,26.42,1982.28,99.69,99.45,70.85,75.78,
Jawa Barat,2016,70.05,8.41,4224.33,79.3,32.67,2126.43,99.65,98.96,66.82,60.99,
Jawa Tengah,2016,69.98,7.7,4506.89,92.6,27.19,1964.01,97.8,99.39,66.71,56.41,
Daerah Istimewa Yogyakarta,2016,78.38,9.62,494.94,97.3,23.11,2063.40,98.83,99.61,85.58,64.57,
Jawa Timur,2016,69.74,7.78,4703.3,85.79,28.16,2038.48,96.52,98.55,72.24,57.21,
Banten,2016,70.96,8.79,658.11,74.73,31.64,2135.13,98.76,99.06,71.36,60.92,
Bali,2016,73.65,8.84,178.18,84.53,21.62,2215.85,96.13,99.64,78.95,65.19,
Nusa Tenggara Barat,2016,65.81,7.57,804.44,73.25,30.88,2075.62,92.09,97.43,65.41,47.79,
Nusa Tenggara Timur,2016,63.13,7.54,1149.92,53.66,24.91,1889.63,94.85,64.96,82.49,37.96,
Kalimantan Barat,2016,65.88,7.49,381.35,81.36,28.09,1955.17,95.5,81.53,75.28,53.94,
Kalimantan Tengah,2016,69.13,8.52,143.49,79.57,29.21,2111.25,99.55,76.93,74.77,62.89,
Kalimantan Selatan,2016,69.05,8.28,195.7,86.42,25.34,2144.62,99.76,95.88,73.43,63.97,
Kalimantan Timur,2016,74.59,9.55,212.92,92.33,25.23,1909.87,99.34,91.74,73.64,74.47,
Kalimantan Utara,2016,69.2,9.01,41.12,89.39,28.38,1831.17,97.09,86.75,76.98,68.72,
Sulawesi Utara,2016,71.05,9.31,202.82,86.04,29.23,2074.83,99.89,97.89,76.34,61.78,
Sulawesi Tengah,2016,67.47,8.56,420.52,67.21,31.88,1990.21,99.07,86.19,72.2,51.08,
Sulawesi Selatan,2016,69.76,8.31,807.03,84.86,25.13,2040.92,95.51,94.24,68.53,58.5,
Sulawesi Tenggara,2016,69.31,8.86,326.86,79.09,27.6,2034.18,97,87.51,71.13,56.39,
Gorontalo,2016,66.29,7.71,203.19,86.34,31.71,2033.02,99.43,92.92,77.48,52.93,
Sulawesi Barat,2016,63.6,7.76,152.73,82.74,27.36,2061.73,95.42,75.58,72.37,46.17,
Maluku,2016,67.6,9.69,327.72,72.56,25.68,1837.22,99.37,83.58,78.2,49.84,
Maluku Utara,2016,66.63,8.96,74.68,72.68,30.23,1720.41,99.24,79.02,73.27,47.08,
Papua Barat,2016,62.21,9.57,225.8,70.01,26.18,1828.53,98.04,74.87,60.35,56.93,
Papua,2016,58.05,6.48,911.33,40.54,24.04,1764.80,71.04,39.79,61.02,34.24,
Aceh,2017,70.6,9.42,872.61,87.83,28.85,2115.09,99.4,98.59,70.93,54.2,
Sumatera Utara,2017,70.57,9.55,1453.87,71.78,28.47,2133.84,99.44,95.94,68.08,55.5,
Sumatera Barat,2017,71.24,9.02,364.51,80.07,31.71,2163.52,99.65,95.59,69.5,59.44,
Riau,2017,71.79,9.06,514.62,77.31,29.34,2112.58,99.88,86.59,73.41,63.64,
